GHs,PLs,Ces,GTs,Aas,CBMs,Groups
6.625057906,0.509619839,4.926325109,20.55466684,1.358986237,1.698732796,Cyanobacteria
4.291436883,0.158942107,2.225189495,13.66902118,0.635768427,2.384131602,Cyanobacteria
8.128008749,0,3.325094488,18.10329221,3.694549431,4.064004374,Cyanobacteria
3.612852879,0.25806092,2.838670119,13.29013738,1.03224368,1.54836552,Cyanobacteria
5.867938523,0,3.520763114,17.60381557,1.760381557,4.107556966,Cyanobacteria
3.780137645,0.795818452,2.78536458,6.764456838,1.790591516,4.377001483,Flavobacteriaceae
11.22557455,0.841918091,7.015984096,16.55772247,1.122557455,7.015984096,Flavobacteriaceae
7.588057031,0.948507129,5.37487373,15.17611406,1.264676172,8.220395116,Flavobacteriaceae
8.352574882,0.334102995,6.682059905,17.70745875,1.670514976,7.350265896,Flavobacteriaceae
28.21118764,1.968222393,9.513074901,10.9892417,0.984111197,9.349056369,Flavobacteriaceae
5.939927072,0,5.590519597,18.16918869,1.048222424,6.638742021,Flavobacteriaceae
27.9920178,0.559840356,13.9960089,9.237365873,2.519281602,7.277924627,Flavobacteriaceae
14.90143511,1.619721207,10.04227148,10.04227148,1.619721207,6.154940587,Flavobacteriaceae
22.18159048,1.552711333,9.981715715,8.429004382,1.552711333,5.10176581,Flavobacteriaceae
22.38354316,4.304527531,11.47874008,16.07023611,0.573937004,9.469960568,Flavobacteriaceae
35.44440004,3.703146272,10.58041792,11.90297016,1.32255224,11.63845971,Flavobacteriaceae
17.8625594,5.05544134,6.403559031,11.45900037,2.022176536,8.088706144,Flavobacteriaceae
32.30478999,1.187676103,9.738944042,15.20225411,0.950140882,7.126056616,Flavobacteriaceae
14.94424396,0.622676832,5.292753069,11.51952139,2.179368911,7.783460396,Flavobacteriaceae
4.868224762,1.217056191,4.868224762,7.302337143,2.738376429,5.476752858,Flavobacteriaceae
27.53395148,1.732906037,11.16761668,8.08689484,2.310541383,11.93779715,Flavobacteriaceae
36.74984381,4.4609637,6.585232128,14.23259847,0.637280529,14.44502531,Flavobacteriaceae
24.85245525,2.405076314,12.02538157,11.22368947,3.473999121,10.15476666,Flavobacteriaceae
24.65473985,2.411876724,12.05938362,11.25542471,3.483821935,10.4514658,Flavobacteriaceae
31.40673627,0.951719281,8.089613887,9.041333168,2.855157843,9.279262989,Flavobacteriaceae
9.955589022,0.301684516,5.732005801,20.51454708,0,5.732005801,Flavobacteriaceae
21.67238945,2.039754301,4.589447178,9.178894356,0.764907863,6.884170767,Flavobacteriaceae
19.91536765,2.124305883,5.841841178,9.824914709,0.531076471,6.90399412,Flavobacteriaceae
20.24865916,3.656007904,6.749553053,12.93664335,1.687388263,7.312015807,Flavobacteriaceae
14.49079789,1.99248471,7.607668893,13.58512302,1.811349736,7.245398945,Flavobacteriaceae
18.16442298,4.138729286,8.967246786,9.197176191,2.069364643,8.277458572,Flavobacteriaceae
